n/n;Номер заказа;Автомобиль (марка, модель);Заказ-наряд;Возраст, лет;Допустимая надбавка;  Цена по акту, руб  ;  Цена  по нормативам, руб  ;  Отклонение, руб  
32;2572;Лада Приора гос. номер: М0574 23 VIN: ХТА217030В0327729 год вып. 2011;1818188100962002312194450/ АСЮ0002572-27 от 13.11.2018;7;10;29 255,54;27 043,60;2 211,94
33;2573;Лада Приора гос. номер: Х370ОС 123 VIN: ХТА217030Е0469310 год вып. 2014;1818188100962002312194450/ АСЮ0002573-32 от 14.11.2018;4;0;9 736,09;9 140,57;595,52
34;26011;Лада Приора гос. номер: М0606 23 VIN: XTA217050F0509727 год вып. 2015;1818188100962002312194450/ АСЮ0002601-29 от 14.11.2018;3;0;26 703,33;28 073,93;-1 370,60
35;2602;Лада Приора гос. номер: М0575 23 VIN: ХТА217030В0327722 год вып. 2011;1818188100962002312194450/ АСЮ0002602-30 от 16.11.2018;7;10;36 250,44;34 123,53;2 126,92
36;2604;Лада Гранта гос. номер: Т743СВ 123 VIN: ХТА219010D0152058 год вып. 2013;1818188100962002312194450/ АСЮ0002604-36 от 15.11.2018;5;0;21 220,92;20 937,29;283,63
37;26481;Лада Приора гос. номер: Е110УО 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002648-42 от 23.11.2018;8;10;25 474,53;27 327,18;-1 852,65
38;26491;Лада Приора гос. номер: Е110У0 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002649-43 от 23.11.2018;8;10;10 586,81;10 634,06;-47,25
39;26501;ВАЗ-21150 гос. номер: О171ЕА 123 VIN: ХТА211540В5037281 год вып. 2009;1818188100962002312194450/ АСЮ0002650-38 от 20.11.2018;9;10;9 736,09;9 235,09;501
40;26511;Лада Приора гос. номер: М3604 23 VIN: ХТА217030В0327369 год вып. 2011;18181881009620023121Э4450/ АСЮ0002651-44 от 28.11.2018;7;10;27 365,03;29 104,25;-1 739,22
41;26521;Лада Приора гос. номер: М3604 23 VIN: ХТА217030В0327369 год вып. 2011;1818188100962002312194450/ АСЮ0002652-45 от 26.11.2018;7;10;27 979,46;27 034,15;945,31
42;26531;Лада Приора гос. номер: У7150 23 VIN: ХТА21723080032119 год вып. 2008;1818188100962002312194450/ АСЮ0002653-46 от 27.11.2018;10;20;25 190,99;27 053,06;-1 862,07
43;2654;Лада Приора гос. номер: У7150 23 VIN: ХТА21723080032119 год вып. 2008;1818188100962002312194450/ АСЮ0002654-47 от 27.11.2018;10;20;16 163,79;17 969,20;-1 805,41
44;2683;Лада Приора гос. номер: К853ВЕ 123 VIN: ХТА217030D0423637 год вып. 2013;1818188100962002312194450/ АСЮ0002683-40 от 22.11.2018;5;10;2 315,87;2 278,05;37,82
45;2686;Лада Приора гос. номер: О869КЕ 123 VIN: ХТА21730Е0468978 год вып. 2014;1818188100962002312194450/ АСЮ0002686-48 от 03.12.2018;4;0;11 673,88;10 634,06;1 039,82
46;2687;Лада Приора гос. номер: К0841 23 VIN: ХТА217030А0263506 год вып. 2010;1818188100962002312194450/ АСЮ0002687-50 от 03.12.2018;8;10;15 171,31;16 456,80;-1 285,49
47;2688;Лада Приора гос. номер: ВОЗОРС 123 VIN: XTA21705QF0511568 год вып. 2015;1818188100962002312194450/ АСЮ0002688-53 от 04.12.2018;3;0;18 574,23;18 583,62;-9,39
48;26931;Лада Приора гос. номер: М0573 23 VIN: XTA217050F0509543 год вып. 2015;1818188100962002312194450/ АСЮ0002693-56 от 05.12.2018;3;0;19 944,80;18 318,95;1 625,86
49;2703;Лада Гранта гос. номер: С025ТВ 123 VIN: ХТА219010Н0475090 год вып. 2017;1818188100962002312194450/ АСЮ0002703-49 от 04.12.2018;1;0;3 166,60;3 223,30;-56,7
50;2721;Лада Приора гос. номер: В892ВС 123 VIN: ХТА217030В0327885 год вып. 2011;1818188100962002312194450/ АСЮ0002721-52 от 06.12.2018;7;10;2 315,87;2 278,05;37,82
51;2722;Лада Приора гос. номер: Е335АВ 123 VIN: ХТА217030В0289539 год вып. 2011;1818188100962002312194450/ АСЮ0002722-57 от 06.12.2018;7;10;11 153,98;11 947,96;-793,98
52;2723;Лада Приора гос. номер: Х370ОС 123 VIN: ХТА217030Е0469310 год вып. 2014;1818188100962002312194450/ АСЮ0002723-33 от 14.11.2018;4;0;26 325,26;23 253,15;3 072,11
53;2724;Лада Приора гос. номер: К0841 23 VIN: ХТА217030А0263506 год вып. 2010;1818188100962002312194450/ АСЮ0002724-51 от 03.12.2018;8;10;9 452,51;9 329,62;122,89
54;2726;Лада Приора гос. номер: МО573 23 VIN: XTA217050F0509543 год вып. 2015;1818188100962002312194450/ АСЮ0002726-55 от 05.12.2018;13;20;22 686,02;25 758,06;-3 072,04
55;2727;Лада Приора гос. номер: В030РС 123 VIN: XTA217050F0511568 год вып. 2015;1818188100962002312194450/ АСЮ0002727-54 от 04.12.2018;3;0;13 328,05;12 751,42;576,63
