n/n;Номер заказа;Автомобиль (марка, модель);Заказ-наряд;Возраст, лет;Допустимая надбавка, %;Цена по акту, руб;Цена  по нормативам, руб;Отклонение, руб
32;2572;Лада Приора гос. номер: М0574 23 VIN: ХТА217030В0327729 год вып. 2011;1818188100962002312194450/ АСЮ0002572-27 от 13.11.2018;7;10;29255,54;27043,6025;2211,93750000001
33;2573;Лада Приора гос. номер: Х370ОС 123 VIN: ХТА217030Е0469310 год вып. 2014;1818188100962002312194450/ АСЮ0002573-32 от 14.11.2018;4;0;9736,09;9140,5675;595,522500000001
34;2601;Лада Приора гос. номер: М0606 23 VIN: XTA217050F0509727 год вып. 2015;1818188100962002312194450/ АСЮ0002601-29 от 14.11.2018;3;0;26703,33;28073,925;-1370,595
35;2602;Лада Приора гос. номер: М0575 23 VIN: ХТА217030В0327722 год вып. 2011;1818188100962002312194450/ АСЮ0002602-30 от 16.11.2018;7;10;36250,44;34123,525;2126,915
36;2604;Лада Гранта гос. номер: Т743СВ 123 VIN: ХТА219010D0152058 год вып. 2013;1818188100962002312194450/ АСЮ0002604-36 от 15.11.2018;5;0;21220,92;20937,2875;283,632500000011
37;2648;Лада Приора гос. номер: Е110УО 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002648-42 от 23.11.2018;8;10;25474,53;27327,1775;-1852,6475
38;2649;Лада Приора гос. номер: Е110У0 93 VIN: ХТА217230А0113273 год вып. 2010;1818188100962002312194450/ АСЮ0002649-43 от 23.11.2018;8;10;10586,81;10634,0625;-47,2525000000023
39;2650;ВАЗ-21150 гос. номер: О171ЕА 123 VIN: ХТА211540В5037281 год вып. 2009;1818188100962002312194450/ АСЮ0002650-38 от 20.11.2018;9;10;9736,09;9235,0925;500,997499999999
40;2651;Лада Приора гос. номер: М3604 23 VIN: ХТА217030В0327369 год вып. 2011;18181881009620023121Э4450/ АСЮ0002651-44 от 28.11.2018;7;10;27365,03;29104,2475;-1739,2175
41;2652;Лада Приора гос. номер: М3604 23 VIN: ХТА217030В0327369 год вып. 2011;1818188100962002312194450/ АСЮ0002652-45 от 26.11.2018;7;10;27979,46;27034,15;945,310000000009
42;2653;Лада Приора гос. номер: У7150 23 VIN: ХТА21723080032119 год вып. 2008;1818188100962002312194450/ АСЮ0002653-46 от 27.11.2018;10;20;25190,99;27053,055;-1862,06499999999
43;2654;Лада Приора гос. номер: У7150 23 VIN: ХТА21723080032119 год вып. 2008;1818188100962002312194450/ АСЮ0002654-47 от 27.11.2018;10;20;16163,79;17969,2025;-1805,4125
44;2683;Лада Приора гос. номер: К853ВЕ 123 VIN: ХТА217030D0423637 год вып. 2013;1818188100962002312194450/ АСЮ0002683-40 от 22.11.2018;5;10;2315,87;2278,0525;37,8175000000001
45;2686;Лада Приора гос. номер: О869КЕ 123 VIN: ХТА21730Е0468978 год вып. 2014;1818188100962002312194450/ АСЮ0002686-48 от 03.12.2018;4;0;11673,88;10634,0625;1039,8175
46;2687;Лада Приора гос. номер: К0841 23 VIN: ХТА217030А0263506 год вып. 2010;1818188100962002312194450/ АСЮ0002687-50 от 03.12.2018;8;10;15171,31;16456,8025;-1285,4925
47;2688;Лада Приора гос. номер: ВОЗОРС 123 VIN: XTA21705QF0511568 год вып. 2015;1818188100962002312194450/ АСЮ0002688-53 от 04.12.2018;3;0;18574,23;18583,615;-9,3849999999984
48;2693;Лада Приора гос. номер: М0573 23 VIN: XTA217050F0509543 год вып. 2015;1818188100962002312194450/ АСЮ0002693-56 от 05.12.2018;3;0;19944,8;18318,945;1625,855
49;2703;Лада Гранта гос. номер: С025ТВ 123 VIN: ХТА219010Н0475090 год вып. 2017;1818188100962002312194450/ АСЮ0002703-49 от 04.12.2018;1;0;3166,6;3223,3025;-56,7025000000003
50;2721;Лада Приора гос. номер: В892ВС 123 VIN: ХТА217030В0327885 год вып. 2011;1818188100962002312194450/ АСЮ0002721-52 от 06.12.2018;7;10;2315,87;2278,0525;37,8175000000001
51;2722;Лада Приора гос. номер: Е335АВ 123 VIN: ХТА217030В0289539 год вып. 2011;1818188100962002312194450/ АСЮ0002722-57 от 06.12.2018;7;10;11153,98;11947,96;-793,980000000001
52;2723;Лада Приора гос. номер: Х370ОС 123 VIN: ХТА217030Е0469310 год вып. 2014;1818188100962002312194450/ АСЮ0002723-33 от 14.11.2018;4;0;26325,26;23253,15;3072,11
53;2724;Лада Приора гос. номер: К0841 23 VIN: ХТА217030А0263506 год вып. 2010;1818188100962002312194450/ АСЮ0002724-51 от 03.12.2018;8;10;9452,51;9329,6175;122,8925
54;2726;Лада Приора гос. номер: МО573 23 VIN: XTA217050F0509543 год вып. 2015;1818188100962002312194450/ АСЮ0002726-55 от 05.12.2018;13;20;22686,02;25758,0625;-3072,0425
55;2727;Лада Приора гос. номер: В030РС 123 VIN: XTA217050F0511568 год вып. 2015;1818188100962002312194450/ АСЮ0002727-54 от 04.12.2018;3;0;13328,05;12751,4225;576,627499999999
;;;;;;;;
;Итого;Итого, руб;;;;881590;884744,5475;-3154,54749999993
